,file_id,mixture,sgmsvs,melroformer_bigvgan,melroformer_small,melroformer_large,htdemucs
0,fileid_0,0.001331,0.0002973,0.0003054,0.000277,0.0003054,0.0003128
1,fileid_1,0.001629,0.0001975,0.0002615,0.000341,0.0001955,0.0003371
2,fileid_10,0.001377,4.41e-05,9.35e-05,6.574e-05,8.35e-05,0.0002321
3,fileid_11,0.001583,0.001115,0.000756,0.000767,0.001288,0.000999
4,fileid_12,0.001931,0.0002359,0.0003455,0.0003335,0.0002198,0.0007915
5,fileid_13,0.001504,0.0002342,0.0002195,0.000262,0.0001426,0.000579
6,fileid_14,0.001706,0.000515,0.0003529,0.0003693,0.000336,0.001013
7,fileid_15,0.002155,0.0002642,0.000607,0.0006547,0.0003374,0.000896
8,fileid_16,0.002066,0.0002496,0.0003612,0.0004723,0.0003567,0.000619
9,fileid_17,0.00184,0.0002081,0.000262,0.0002395,0.0001887,0.00046
10,fileid_18,0.001762,0.000349,0.0002995,0.0002218,0.0001895,0.000395
11,fileid_19,0.001689,0.0002288,0.0001992,0.0002692,0.0001028,0.0004036
12,fileid_2,0.002144,0.0001501,0.0001876,0.0002587,0.0001934,0.000307
13,fileid_20,0.002213,0.0004237,0.0007105,0.0005317,0.0002668,0.000554
14,fileid_21,0.001628,0.0004082,0.00036,0.0004685,0.0002438,0.0003273
15,fileid_22,0.001672,0.0001861,0.0002787,0.000428,0.0002326,0.000815
16,fileid_23,0.001618,0.0002604,0.0003273,0.0004692,0.000494,0.0005555
17,fileid_24,0.002985,0.0003936,0.00049,0.000499,0.0003939,0.0005984
18,fileid_25,0.002157,0.000473,0.0007877,0.0005426,0.0006237,0.0005984
19,fileid_26,0.001172,8.106e-05,0.00010115,0.0001601,0.000153,0.0001497
20,fileid_27,0.002176,0.00222,0.001393,0.001058,0.001247,0.002317
21,fileid_28,0.001824,0.0007305,0.001015,0.0009255,0.000601,0.001135
22,fileid_29,0.002043,0.0008693,0.0004792,0.000706,0.0007977,0.0004745
23,fileid_3,0.001494,0.0002323,0.0001398,0.000172,0.0001087,0.0004632
24,fileid_30,0.00176,0.0001854,0.0003188,0.0004354,0.0002894,0.0004365
25,fileid_31,0.0012245,0.0003033,0.0002084,0.000271,0.0002422,0.0005126
26,fileid_32,0.001323,0.0002162,0.0001507,0.0002816,0.0002668,0.0003338
27,fileid_33,0.00165,0.0002775,0.000166,0.0003014,0.0003018,0.0002923
28,fileid_34,0.001823,0.0001739,0.000125,0.0002195,0.000117,0.0003817
29,fileid_35,0.001286,0.0002675,0.0002402,0.000313,0.0001934,0.0004497
30,fileid_36,0.002346,0.002274,0.001092,0.00118,0.000758,0.001248
31,fileid_37,0.001849,0.0005093,0.0003884,0.000471,0.0002997,0.0007744
32,fileid_38,0.002598,0.0004528,0.0007806,0.0008125,0.000978,0.001347
33,fileid_39,0.001724,0.0002123,0.0001701,0.0003107,0.0001652,0.0004332
34,fileid_4,0.001696,0.0002408,0.0003145,0.000401,0.0002233,0.00051
35,fileid_40,0.001599,0.0003448,0.00042,0.0003414,0.0002264,0.000333
36,fileid_41,0.001514,0.00043,0.0004935,0.0007634,0.000542,0.0007744
37,fileid_42,0.001468,0.0001518,0.00011384,0.0001999,0.000204,0.0001805
38,fileid_43,0.00203,0.0003517,0.0002404,0.0004375,0.0002596,0.0005474
39,fileid_44,0.000817,0.000413,0.0001659,0.0003083,0.0002773,0.0004148
40,fileid_45,0.002104,0.0008917,0.0007253,0.000887,0.0007777,0.001783
41,fileid_46,0.001815,0.000443,0.0004807,0.000491,0.0007443,0.000473
42,fileid_47,0.001588,0.0002925,0.0003848,0.0003338,0.0001607,0.0003314
43,fileid_48,0.001932,0.0002537,0.0007653,0.00069,0.0003514,0.000952
44,fileid_49,0.002098,0.0002326,0.0001813,0.0003376,0.0002692,0.000517
45,fileid_5,0.001789,0.0002023,0.0002663,0.0002367,0.0002111,0.0003357
46,fileid_6,0.00223,0.000647,0.0005755,0.0007925,0.0003958,0.0007377
47,fileid_7,0.001987,0.0002766,0.0003657,0.0003183,0.0003088,0.0003896
48,fileid_8,0.002365,0.0006757,0.0006886,0.0006657,0.0005507,0.0010395
49,fileid_9,0.001963,0.000901,0.000703,0.000917,0.000575,0.0009184
