,file_id,mixture,sgmsvs,melroformer_bigvgan,melroformer_small,melroformer_large,htdemucs
0,fileid_0,0.001212,0.0004237,0.0003083,0.0003154,0.00038,0.0005536
1,fileid_1,0.0013895,0.0002704,0.0003796,0.0004578,0.0002918,0.0004668
2,fileid_10,0.001118,9.39e-05,0.0001348,0.0001272,0.0001359,0.0003622
3,fileid_11,0.0017605,0.001379,0.0009017,0.0008426,0.000894,0.001226
4,fileid_12,0.001641,0.0004177,0.0003645,0.000541,0.0004048,0.0008206
5,fileid_13,0.001528,0.0003433,0.0003011,0.0002744,0.0001981,0.000526
6,fileid_14,0.001464,0.000625,0.0004642,0.0005918,0.0003653,0.001127
7,fileid_15,0.00211,0.000433,0.0006447,0.0007114,0.0004742,0.001019
8,fileid_16,0.001601,0.0002575,0.0003269,0.0004566,0.000408,0.0005283
9,fileid_17,0.001348,0.000195,0.0003402,0.0001975,0.0002254,0.0004723
10,fileid_18,0.001446,0.0003042,0.0003161,0.0003374,0.0002968,0.0004401
11,fileid_19,0.001269,0.0002692,0.0002813,0.0003564,0.0001823,0.000459
12,fileid_2,0.001513,0.0002422,0.0002341,0.0003686,0.00033,0.0004792
13,fileid_20,0.002264,0.000438,0.0007195,0.0005474,0.0004468,0.0007195
14,fileid_21,0.001224,0.0003886,0.0004685,0.0004907,0.0003033,0.0005374
15,fileid_22,0.001562,0.0003068,0.0003235,0.0003777,0.0002446,0.000709
16,fileid_23,0.001634,0.0004523,0.0002913,0.0004718,0.0004616,0.000688
17,fileid_24,0.002457,0.0004482,0.0005074,0.00056,0.0004823,0.0007033
18,fileid_25,0.001745,0.000507,0.0005455,0.000671,0.000742,0.000733
19,fileid_26,0.0009108,0.0001181,0.0001317,0.0002518,0.0002656,0.0002302
20,fileid_27,0.002377,0.001827,0.001195,0.001114,0.001555,0.002028
21,fileid_28,0.002161,0.0008607,0.001309,0.001067,0.0008855,0.001639
22,fileid_29,0.001762,0.000724,0.0006394,0.000536,0.0005975,0.0005727
23,fileid_3,0.001841,0.0002232,0.0002371,0.000275,0.0002217,0.000504
24,fileid_30,0.0018835,0.0002832,0.000518,0.000568,0.0004687,0.0007725
25,fileid_31,0.001332,0.0004091,0.0002959,0.0003588,0.0002682,0.0006456
26,fileid_32,0.001353,0.000448,0.0002568,0.0003378,0.0003166,0.0005245
27,fileid_33,0.001493,0.000266,0.000276,0.0002995,0.000277,0.0002687
28,fileid_34,0.001803,0.0002713,0.0001663,0.0002221,0.0001544,0.000582
29,fileid_35,0.001337,0.0002449,0.000354,0.0003548,0.000201,0.000578
30,fileid_36,0.00184,0.002056,0.0008664,0.001273,0.000785,0.001146
31,fileid_37,0.001723,0.00088,0.000619,0.000841,0.0007367,0.000929
32,fileid_38,0.002062,0.0004027,0.000768,0.000867,0.00099,0.001212
33,fileid_39,0.00164,0.0001638,0.0002047,0.0003712,0.0002763,0.0005817
34,fileid_4,0.001486,0.0003555,0.0003371,0.0003777,0.0002084,0.0004275
35,fileid_40,0.00129,0.0003886,0.0004609,0.000653,0.0002942,0.000532
36,fileid_41,0.0015,0.000596,0.000764,0.000848,0.0005455,0.000769
37,fileid_42,0.001197,0.0002177,0.000172,0.0002718,0.0001897,0.0003018
38,fileid_43,0.001593,0.0006566,0.0003014,0.0006247,0.0004706,0.000933
39,fileid_44,0.000862,0.0003834,0.0001856,0.0002985,0.000262,0.000465
40,fileid_45,0.001756,0.001201,0.0009613,0.00097,0.001043,0.001861
41,fileid_46,0.001795,0.0005207,0.000523,0.0007005,0.0007277,0.00066
42,fileid_47,0.001389,0.000354,0.000494,0.0006447,0.0003276,0.000479
43,fileid_48,0.001939,0.0002546,0.000653,0.000557,0.0003564,0.0007687
44,fileid_49,0.001747,0.0003192,0.0003548,0.000471,0.0003738,0.0005984
45,fileid_5,0.001596,0.0004115,0.0003817,0.000535,0.0003753,0.0006347
46,fileid_6,0.002186,0.0007753,0.000904,0.0008445,0.000511,0.001038
47,fileid_7,0.001572,0.0002697,0.0003095,0.000338,0.0003498,0.000499
48,fileid_8,0.002253,0.0008717,0.0008698,0.0007486,0.0007167,0.000819
49,fileid_9,0.001604,0.0009036,0.000811,0.001099,0.000662,0.001254
