,file_id,mixture,sgmsvs,melroformer_bigvgan,melroformer_small,melroformer_large,htdemucs
0,fileid_0,0.1877,0.0725,0.064,0.03818,0.03123,0.0972
1,fileid_1,0.1346,0.0867,0.102,0.0736,0.05365,0.089
2,fileid_10,0.1265,0.01637,0.04593,0.02794,0.01247,0.03104
3,fileid_11,0.2075,0.1862,0.1848,0.1727,0.1389,0.1881
4,fileid_12,0.2007,0.0879,0.08624,0.08295,0.0586,0.127
5,fileid_13,0.2046,0.0637,0.0834,0.0625,0.04495,0.0888
6,fileid_14,0.2019,0.1404,0.1166,0.103,0.08124,0.1434
7,fileid_15,0.2262,0.1097,0.10706,0.0874,0.0773,0.1166
8,fileid_16,0.2314,0.1333,0.125,0.126,0.11444,0.135
9,fileid_17,0.1555,0.05887,0.0752,0.0628,0.05182,0.07245
10,fileid_18,0.2097,0.09845,0.10846,0.09937,0.08105,0.1063
11,fileid_19,0.1874,0.07745,0.09174,0.0753,0.03317,0.11
12,fileid_2,0.1827,0.07654,0.08887,0.0869,0.06003,0.0989
13,fileid_20,0.1884,0.08984,0.09247,0.08405,0.0534,0.0939
14,fileid_21,0.1654,0.088,0.08405,0.0841,0.05258,0.0964
15,fileid_22,0.1711,0.08655,0.09106,0.0765,0.0542,0.12134
16,fileid_23,0.2372,0.0551,0.0744,0.06067,0.1049,0.09625
17,fileid_24,0.2404,0.09985,0.1121,0.0574,0.05872,0.0901
18,fileid_25,0.207,0.0793,0.09015,0.0826,0.0705,0.095
19,fileid_26,0.1451,0.05545,0.0672,0.05478,0.02925,0.0713
20,fileid_27,0.33,0.2454,0.2334,0.2148,0.1941,0.2556
21,fileid_28,0.256,0.0951,0.2098,0.1306,0.10516,0.2377
22,fileid_29,0.2207,0.1382,0.1228,0.1153,0.0978,0.1411
23,fileid_3,0.1682,0.04996,0.0587,0.0504,0.02786,0.077
24,fileid_30,0.2095,0.12006,0.1305,0.1195,0.0739,0.135
25,fileid_31,0.1653,0.0907,0.07513,0.06287,0.0315,0.07947
26,fileid_32,0.1796,0.089,0.11975,0.09503,0.0662,0.1088
27,fileid_33,0.2035,0.06476,0.0936,0.06445,0.067,0.08655
28,fileid_34,0.1725,0.08044,0.07965,0.0742,0.04794,0.09143
29,fileid_35,0.1205,0.06305,0.09,0.06946,0.0448,0.10095
30,fileid_36,0.1714,0.251,0.2218,0.2196,0.1079,0.2085
31,fileid_37,0.2742,0.1537,0.1484,0.1333,0.0877,0.1417
32,fileid_38,0.267,0.1458,0.1714,0.1539,0.126,0.1898
33,fileid_39,0.2001,0.05478,0.07574,0.07,0.04474,0.07544
34,fileid_4,0.1718,0.06793,0.09686,0.08044,0.06003,0.09906
35,fileid_40,0.1495,0.0676,0.098,0.0913,0.05045,0.0957
36,fileid_41,0.2183,0.1407,0.1442,0.1539,0.1094,0.1492
37,fileid_42,0.185,0.092,0.10077,0.0979,0.08813,0.1087
38,fileid_43,0.2457,0.1359,0.1289,0.1285,0.11145,0.1729
39,fileid_44,0.1366,0.04547,0.056,0.0372,0.0353,0.04642
40,fileid_45,0.2607,0.1971,0.17,0.1667,0.1592,0.2727
41,fileid_46,0.2223,0.1222,0.1189,0.11444,0.11096,0.1285
42,fileid_47,0.1222,0.07635,0.08374,0.07007,0.04138,0.0756
43,fileid_48,0.2162,0.11475,0.1097,0.1025,0.07056,0.1346
44,fileid_49,0.198,0.0817,0.0891,0.0875,0.0724,0.109
45,fileid_5,0.1786,0.0808,0.09766,0.0928,0.0739,0.1086
46,fileid_6,0.2283,0.1876,0.1818,0.1876,0.1266,0.193
47,fileid_7,0.2266,0.11176,0.11957,0.10004,0.0849,0.1335
48,fileid_8,0.2465,0.11896,0.1405,0.1414,0.10333,0.1445
49,fileid_9,0.2205,0.1772,0.1559,0.165,0.1209,0.1594
