,file_id,mixture,sgmsvs,melroformer_bigvgan,melroformer_small,melroformer_large,htdemucs
0,fileid_0,0.937,0.1439,0.2925,0.05783,0.03998,0.1919
1,fileid_1,0.4966,0.231,0.3835,0.1704,0.1198,0.2168
2,fileid_10,1.063,0.03387,0.4436,0.08374,0.03622,0.09564
3,fileid_11,1.451,1.052,0.8105,0.6567,0.3896,0.959
4,fileid_12,1.106,0.2463,0.4382,0.1448,0.1125,0.3457
5,fileid_13,0.9604,0.1617,0.4177,0.127,0.097,0.2288
6,fileid_14,1.049,0.5107,0.4148,0.2166,0.1914,0.3445
7,fileid_15,1.458,0.3972,0.2747,0.1433,0.09033,0.2249
8,fileid_16,1.121,0.2598,0.325,0.282,0.2686,0.2664
9,fileid_17,0.808,0.1313,0.4814,0.1389,0.1155,0.2062
10,fileid_18,1.28,0.275,0.4827,0.3374,0.2202,0.2864
11,fileid_19,1.406,0.1779,0.3826,0.1774,0.06238,0.2817
12,fileid_2,1.116,0.2091,0.3535,0.2065,0.1501,0.2566
13,fileid_20,1.504,0.374,0.8413,0.4753,0.1879,0.3652
14,fileid_21,1.1045,0.2834,0.4468,0.2754,0.106,0.275
15,fileid_22,0.8306,0.2876,0.51,0.27,0.1696,0.5146
16,fileid_23,1.392,0.1475,0.3237,0.1818,0.5137,0.2045
17,fileid_24,1.606,0.11975,0.274,0.1515,0.09,0.1659
18,fileid_25,1.071,0.0896,0.2874,0.0729,0.069,0.1412
19,fileid_26,0.81,0.07794,0.3552,0.1125,0.0446,0.1555
20,fileid_27,2.1,0.724,0.3845,0.4204,0.417,0.8413
21,fileid_28,1.508,0.2024,0.3704,0.3862,0.3342,0.634
22,fileid_29,1.178,0.474,0.4434,0.3137,0.249,0.3137
23,fileid_3,1.203,0.1528,0.518,0.099,0.04883,0.1642
24,fileid_30,1.087,0.2563,0.5107,0.2822,0.1658,0.2778
25,fileid_31,0.7812,0.1777,0.407,0.1034,0.05826,0.1678
26,fileid_32,1.023,0.177,0.3767,0.1621,0.098,0.1964
27,fileid_33,1.584,0.10376,0.2593,0.0912,0.0905,0.1114
28,fileid_34,0.846,0.2502,0.3516,0.1936,0.1266,0.2394
29,fileid_35,0.844,0.1775,0.4797,0.2145,0.12146,0.2744
30,fileid_36,1.012,1.67,0.866,0.8477,0.2793,0.8867
31,fileid_37,1.414,0.4883,0.594,0.3308,0.11774,0.4038
32,fileid_38,1.433,0.2458,0.341,0.3076,0.271,0.3435
33,fileid_39,1.339,0.10986,0.3796,0.1523,0.0751,0.137
34,fileid_4,0.888,0.1769,0.4407,0.2566,0.108,0.3618
35,fileid_40,0.835,0.1449,0.481,0.2815,0.12476,0.2832
36,fileid_41,1.278,0.577,0.677,0.5435,0.3174,0.62
37,fileid_42,0.9966,0.1346,0.3516,0.1421,0.1244,0.1749
38,fileid_43,1.269,0.2712,0.2866,0.1855,0.1451,0.3252
39,fileid_44,0.5737,0.1433,0.4236,0.0626,0.0576,0.1537
40,fileid_45,1.12,0.4592,0.3188,0.3738,0.3174,1.091
41,fileid_46,1.213,0.2211,0.365,0.2234,0.2004,0.1924
42,fileid_47,0.6895,0.2534,0.5503,0.182,0.1022,0.2637
43,fileid_48,1.153,0.361,0.4846,0.4387,0.2499,0.4995
44,fileid_49,1.273,0.3716,0.563,0.3525,0.31,0.3499
45,fileid_5,0.916,0.2125,0.408,0.2251,0.1648,0.2327
46,fileid_6,1.36,0.9214,0.819,0.811,0.4412,0.751
47,fileid_7,1.279,0.2085,0.3591,0.2103,0.1582,0.2322
48,fileid_8,1.474,0.3308,0.5166,0.3801,0.2593,0.4094
49,fileid_9,1.389,0.825,0.694,0.605,0.343,0.7314
