,file_id,noisy,sgmsvs,melroformer_bigvgan,melroformer_small,melroformer_large,htdemucs
0,fileid_0,2.0996165,1.1322074,0.9806811,0.7958652,0.8534458,1.0575448
1,fileid_1,1.3334911,1.081106,1.2272807,1.1034634,0.9736396,1.1352563
2,fileid_10,1.124615,0.5766063,0.97102565,0.59283274,0.5811556,0.67859036
3,fileid_11,3.8322139,2.9750156,2.7750833,2.30645,1.4197756,2.9807167
4,fileid_12,2.1489275,1.1615299,0.98152673,1.1509247,0.96616447,1.279258
5,fileid_13,1.3034238,0.8031815,1.1043411,0.83582574,0.70057446,1.0132691
6,fileid_14,2.6448102,1.3698037,1.3128,1.4074564,1.2448592,1.5659004
7,fileid_15,3.536543,1.5023158,1.2095854,1.0143957,0.8442522,1.0897334
8,fileid_16,2.258208,1.2974991,1.2672771,1.492731,1.3660266,1.2614712
9,fileid_17,1.0419552,0.6524468,1.0984659,0.7635748,0.7330349,0.70787984
10,fileid_18,2.1363006,1.1742231,1.2660246,1.5539262,1.4087131,1.1159325
11,fileid_19,2.4916053,1.0792453,1.2290419,1.2284448,0.78126395,1.1723835
12,fileid_2,1.6797081,0.9643229,1.0872352,1.1798542,0.92311114,1.0413058
13,fileid_20,2.72812,1.2026408,1.4605143,1.4278767,1.1380806,1.1714423
14,fileid_21,1.6943982,1.1676705,1.1021521,1.4756272,1.1933718,1.08974
15,fileid_22,1.8781958,1.4292653,1.2985618,1.4260588,1.1875713,1.8861656
16,fileid_23,2.9562721,0.82685643,0.96123374,0.8748911,1.3019394,0.98062736
17,fileid_24,5.7067924,0.8587971,1.4239278,0.90762156,0.949206,1.2343532
18,fileid_25,1.9918998,1.019875,1.078135,1.0673503,1.0160294,0.8983326
19,fileid_26,1.0305855,0.46816278,0.97210044,0.74142206,0.60890466,0.68633944
20,fileid_27,8.633984,2.804983,1.7448351,2.1415186,2.3108492,2.7729402
21,fileid_28,3.5845382,0.9308311,1.8668051,1.6439193,1.3968503,2.3023505
22,fileid_29,2.8168874,1.3732879,1.3269087,1.4697235,1.4413251,1.2407087
23,fileid_3,1.6972363,0.80061424,0.9476881,0.8034223,0.6753405,0.84678614
24,fileid_30,1.9710478,1.2620974,1.308868,1.5478199,1.1681912,1.2795644
25,fileid_31,2.2903771,1.2630348,1.0159843,1.0841995,0.7894956,0.98416126
26,fileid_32,1.7751482,0.9441806,1.1225435,0.99810237,0.92928934,1.0811634
27,fileid_33,3.956778,0.8575966,1.2511638,0.90861624,1.0262324,1.034258
28,fileid_34,1.7260611,1.0174627,1.1020658,1.0114659,0.82148236,1.0075302
29,fileid_35,1.2571996,0.92395276,1.168153,1.0405549,0.9550673,1.1522342
30,fileid_36,3.3520057,3.8733025,1.7700783,2.9971657,1.5727184,2.3510928
31,fileid_37,3.3526802,1.475101,1.3512249,1.3241823,1.1978838,1.2800671
32,fileid_38,4.93048,1.4624531,1.1481211,1.8461319,1.764498,1.2652524
33,fileid_39,1.9597175,0.8155867,1.104023,0.844028,0.7263405,0.8382614
34,fileid_4,1.5761666,0.95676744,1.2358847,1.4447529,0.881348,1.4943496
35,fileid_40,1.7366726,0.9156524,1.3323619,1.5559906,1.0550579,1.2896268
36,fileid_41,3.060784,1.6835924,1.344538,1.6826292,1.3033302,1.7711273
37,fileid_42,1.8767627,1.0214746,1.3315423,1.2460892,1.2270434,1.1531602
38,fileid_43,2.066317,1.2204138,0.9458666,0.99987584,0.94092906,1.1504872
39,fileid_44,0.84457844,0.7482223,0.9097854,0.48576117,0.5170307,0.8100792
40,fileid_45,3.5288043,2.5257459,1.5320911,2.388707,2.2197661,4.0788937
41,fileid_46,3.2012038,1.1825484,1.1782504,1.2887304,1.1676185,1.063267
42,fileid_47,1.5675409,1.0595192,1.2290007,1.0207703,0.84383476,1.0616629
43,fileid_48,1.7861016,1.0525614,1.3419778,1.2838949,1.0069164,1.5496066
44,fileid_49,1.9448345,1.0962931,1.1171232,1.2352257,1.0966313,1.328175
45,fileid_5,1.9917591,1.125251,1.0881412,1.2633232,1.16152,1.1731316
46,fileid_6,3.658233,2.0608954,1.459863,2.3471122,1.7673464,1.8652427
47,fileid_7,3.2186368,1.2928934,1.3180072,1.3519895,1.3618419,1.2342503
48,fileid_8,3.1363616,1.1392956,1.417573,1.5663445,1.2955261,1.6633928
49,fileid_9,3.2221603,2.2176046,1.6976976,2.5808437,1.7547108,1.9633825
