,file_id,noisy,sgmsvs,melroformer_bigvgan,melroformer_small,melroformer_large,htdemucs
0,fileid_0,3.97447594,4.32764795,4.50090824,4.47217164,4.47324561,4.19716096
1,fileid_1,3.05234954,3.44204521,3.60240627,3.14901184,3.61066134,4.28579172
2,fileid_10,3.59744459,4.22750295,4.22981617,4.22750295,4.22981617,4.06152567
3,fileid_11,3.27481305,3.32832679,3.27473128,3.35906867,4.33118832,3.28070109
4,fileid_12,2.18701715,2.64252052,3.28896806,2.82573943,3.01241464,2.2204331
5,fileid_13,3.36489337,3.91692578,4.12529194,3.80238239,4.13173732,3.34968835
6,fileid_14,2.69502431,3.72091091,4.05522346,3.51840015,3.6600336,3.34046712
7,fileid_15,2.99277573,3.70061723,4.01517591,3.74341858,4.03762557,3.583294
8,fileid_16,3.02595994,3.1969647,3.70197991,3.37517037,3.46711802,3.21158244
9,fileid_17,3.79819658,4.326508,4.21127494,4.31605183,4.39011917,4.2075643
10,fileid_18,3.16804297,3.2143584,3.48226523,2.91066232,3.52397018,3.26661906
11,fileid_19,2.75171334,3.51052115,3.73587707,3.40581633,4.13116723,3.46237017
12,fileid_2,3.31838292,3.67233742,3.8100831,3.64223798,3.77374527,3.40634803
13,fileid_20,2.27819166,3.44246145,3.50755035,3.36929082,3.70254977,3.50415583
14,fileid_21,2.74034117,3.11482225,3.46142718,2.85606478,3.25340102,3.21312483
15,fileid_22,3.09652941,3.35749875,3.81092702,3.46610803,3.85795725,2.80174535
16,fileid_23,2.7474928,4.08279508,4.18771909,4.06151283,4.13379041,4.10671698
17,fileid_24,2.88696631,4.14625896,4.33743685,4.24800029,4.32937733,4.17634867
18,fileid_25,3.18771699,3.72275745,4.22399146,3.80714621,3.91083875,3.70865282
19,fileid_26,4.25391247,4.20250725,3.91652675,3.90190186,4.11684608,3.85597821
20,fileid_27,2.92835558,3.16433472,3.19257022,3.04733851,3.02319994,2.62008569
21,fileid_28,3.77827805,4.54382822,3.94173362,4.01694725,4.29880655,3.43259505
22,fileid_29,2.64059882,3.13593646,3.41999897,3.07012949,3.3424929,2.87799016
23,fileid_3,2.81403747,3.69515663,4.11237437,3.68271396,3.75166298,3.49558005
24,fileid_30,3.36456309,3.4707171,3.7534233,2.96633462,3.73500345,3.28357634
25,fileid_31,2.21712787,2.84419919,3.63306802,2.93172964,3.53222946,3.04392742
26,fileid_32,3.10153101,3.75667817,3.72164507,3.56184551,3.89637541,3.58182076
27,fileid_33,2.38405342,3.99671126,4.06595232,4.05214022,4.07252925,4.06037827
28,fileid_34,3.27220347,3.40436287,3.7924067,3.50143553,3.82452875,2.97912429
29,fileid_35,3.74787713,4.07846576,4.25718301,4.18458501,4.17920834,3.89661314
30,fileid_36,1.77490489,2.5684956,2.94201899,1.82993958,2.89164988,2.43452942
31,fileid_37,1.89664138,2.92956643,3.40755043,3.44291695,3.45711643,3.23240859
32,fileid_38,2.81364046,3.04740147,3.76774154,2.85058269,3.50025073,3.55814822
33,fileid_39,3.37266165,3.86666147,4.1373245,4.06630467,4.2971975,3.88902227
34,fileid_4,3.47803422,3.56352162,3.22641637,2.73067392,3.82528516,2.45747754
35,fileid_40,2.67034881,4.07186445,3.95608292,3.14495085,3.6975203,3.57926462
36,fileid_41,2.32118265,2.74482981,3.26990091,2.95608012,3.30926616,2.88552347
37,fileid_42,2.98728876,3.67440656,3.72180959,3.54121467,3.7121479,3.47365534
38,fileid_43,2.43081553,3.51257651,3.79269099,3.74711098,3.85611385,3.10286225
39,fileid_44,4.19584675,4.29397457,4.25808722,4.25823363,4.35979926,4.1154174
40,fileid_45,2.53975773,2.35668394,2.78001053,2.22921369,2.41402679,2.55118665
41,fileid_46,2.81246483,3.58420436,3.96604237,3.68436513,3.81451166,3.65129332
42,fileid_47,2.84512923,3.28325042,3.74383696,3.31115783,3.99077597,3.28972855
43,fileid_48,3.53945248,3.88254028,3.87728559,3.78425805,4.08042363,3.66440869
44,fileid_49,2.99627093,3.60759993,3.59867695,3.49750273,3.95033331,2.9371116
45,fileid_5,2.78631067,3.31545491,3.63210329,3.16839757,3.52391252,3.12761863
46,fileid_6,2.23638713,2.10554307,2.61482872,1.79294421,2.34544533,2.04042615
47,fileid_7,3.03000988,3.17680413,3.55722011,3.47481408,3.68425743,3.35501754
48,fileid_8,2.94707775,3.06470668,3.30801515,3.26675542,3.62301989,2.86209365
49,fileid_9,2.08947883,2.5531204,3.0023299,2.45356015,2.84448577,2.69065985
